Trait,Marker_ID,Estimate,SD,Model_Frequency
t1,15,-0.012045583954109923,0.02041586587818971,1.0
t1,26,0.0041669151419414996,0.023181414952929576,1.0
t1,38,-0.0038007566315649147,0.020254191761641158,1.0
t1,95,0.011992062900983489,0.02370349132029789,1.0
t1,111,-0.0022655217260723172,0.02245587767658196,1.0
t1,112,-0.0033356296969471967,0.02232314630071873,1.0
t1,127,0.005133662981000195,0.024624373916208562,1.0
t1,128,0.006855486839961406,0.020047161515706236,1.0
t1,143,0.0038924875582357485,0.02010051450500022,1.0
t1,155,-0.012952229340282551,0.02105552951670607,1.0
t1,168,0.0043256497527659095,0.021387794021842512,1.0
t1,184,0.010833583006159267,0.023226817883195996,1.0
t1,198,0.008006649788249684,0.02091559194644753,1.0
t1,238,0.0003177179630865649,0.021835389756092668,1.0
t1,251,-0.01622977782609612,0.024271452451922405,1.0
t1,253,-0.0055251368866959406,0.02257746513481165,1.0
t1,279,-0.002066068256425575,0.021244754356894137,1.0
t1,284,-0.00020144839532230664,0.018896488706910346,1.0
t1,286,0.02078677562786102,0.029711665574539883,1.0
t1,299,0.0075912334317235,0.020218051161936423,1.0
t1,302,-0.005487689170474667,0.01970301294095125,1.0
t1,307,-0.0008079716522816933,0.023493519140297323,1.0
t1,333,0.0018064010166429954,0.021833469195668843,1.0
t1,335,-0.007149531821019754,0.022528571584238138,1.0
t1,360,-0.0044767934193303644,0.018738825367776886,1.0
t1,366,0.0024086755554992957,0.023878757479897657,1.0
t1,374,-0.011317716947529137,0.019407773017941318,1.0
t1,391,0.006857377596116113,0.023202302026216544,1.0
t1,413,0.015082204049097133,0.034049561054212425,1.0
t1,414,-0.008281760108888954,0.022428747813253255,1.0
t1,444,-0.0075384081264123,0.019438376987667445,1.0
t1,451,-0.006350501999862497,0.01908256205374903,1.0
t1,459,0.009302736196367367,0.02071229547232316,1.0
t1,472,-0.011865212174548643,0.022924210923115005,1.0
t1,490,0.00022942553079945805,0.022393871638233195,1.0
t1,497,0.008283108722830449,0.02618352464626124,1.0
t1,507,-0.00302618444935232,0.02006409275738841,1.0
t1,514,0.004642381796987382,0.0188156081745972,1.0
t1,523,-0.004585070502470472,0.01852392339860729,1.0
t1,543,0.0009558798316546757,0.02446786370659445,1.0
t1,548,0.0023882859829552064,0.02214403476964029,1.0
t1,550,0.005966187979792103,0.021953883913370144,1.0
t1,557,-0.005900815117271304,0.021835443772028784,1.0
t1,572,-0.014112343297524912,0.024616894101837938,1.0
t1,574,-0.005952230321805197,0.02004991105310985,1.0
t1,583,-0.010470152726843832,0.024750796979392607,1.0
t1,593,0.0010903926008121586,0.01854693793531018,1.0
t1,597,0.003086804534003891,0.022933048538244204,1.0
t1,598,0.017559213207048684,0.022334446517744473,1.0
t1,622,-0.001491538416989835,0.022010590302158118,1.0
t1,629,-0.014740127922166323,0.02684647027672394,1.0
t1,685,-0.0029644424494554757,0.02070785927653998,1.0
t1,689,0.005717647961382995,0.024308149991679812,1.0
t1,695,0.012351419806250118,0.023996309229322343,1.0
t1,700,0.0028672345556976578,0.020586784969577363,1.0
t1,702,-0.005478305242798505,0.019595125204292976,1.0
t1,709,0.002215460186898291,0.021858650804956425,1.0
t1,723,-0.022850897634366367,0.03602309788332867,1.0
t1,730,0.004838028234827633,0.023358234039353058,1.0
t1,738,-0.0035274802564554913,0.023607536558631046,1.0
t1,751,-0.0033552127719766595,0.020058812264747917,1.0
t1,759,-0.0034352808185617294,0.024094692301199178,1.0
t1,760,-0.007635765211574375,0.023137107803666235,1.0
t1,773,0.0006558782611453642,0.023830413625593804,1.0
t1,778,0.0069527829954907526,0.024182998761687304,1.0
t1,795,-0.011760827613344498,0.02253032696970963,1.0
t1,805,0.0027431723323629517,0.020783701170510736,1.0
t1,806,0.0017222926041746474,0.021892964486887673,1.0
t1,813,0.0018750700860483555,0.024866153676387778,1.0
t1,819,0.0005188733170952441,0.02491390437957905,1.0
t1,829,-0.004597069072875944,0.021112326483520936,1.0
t1,836,-0.009690972743415429,0.0211703610724572,1.0
t1,837,0.0007977951732151543,0.024590772019584258,1.0
t1,843,-0.010353820957581274,0.030322649281021685,1.0
t1,846,0.008672625221171276,0.0235860903315246,1.0
t1,852,0.0023892178396190573,0.022322876702144043,1.0
t1,856,0.00651413643919191,0.02728999914724616,1.0
t1,867,0.002485040978744034,0.02100812628142598,1.0
t1,879,0.0011767880063632947,0.022153790347036347,1.0
t1,881,-0.002053660797071312,0.0234184952470342,1.0
t1,889,0.010746216360914268,0.02564706699833239,1.0
t1,898,-0.0023761398669723496,0.02234276073956871,1.0
t1,914,-0.007113029921983569,0.022371338259481257,1.0
t1,927,-0.003916180470777305,0.023352097761713136,1.0
t1,939,4.4137519251015694e-5,0.020334016632514267,1.0
t1,957,0.001189261315013463,0.020526525232236824,1.0
t1,977,0.009130258604419256,0.025071022909308426,1.0
t1,992,-0.00592923628586267,0.022320631634347908,1.0
t1,1016,-0.004070979426416086,0.023432338383389,1.0
t1,1020,-0.005741959369466649,0.022455393216297272,1.0
t1,1023,0.005804132204352658,0.01887013149535275,1.0
t1,1054,-0.0076167901012322405,0.023291612651482694,1.0
t1,1062,-0.005594567327347087,0.020915996781023787,1.0
t1,1069,-0.00011588373199661653,0.019433890184875572,1.0
t1,1091,0.0037443494092456887,0.02173446767681,1.0
t1,1094,-0.001195773752817621,0.022468287087029568,1.0
t1,1096,-0.010817187824439679,0.01949851433253523,1.0
t1,1097,0.0015690310638587686,0.022183945761360152,1.0
t1,1099,0.00043500831819861586,0.020750983253308944,1.0
t1,1104,-0.008733368231188718,0.019483904089069075,1.0
t1,1112,0.007096674360852218,0.023194344773156916,1.0
t1,1114,0.0016089362543837192,0.021501666514219732,1.0
t1,1157,-0.009410522034731627,0.021544018223773845,1.0
t1,1164,-0.008676517547021803,0.024130671539460014,1.0
t1,1180,0.006862048416914882,0.020742231523091688,1.0
t1,1193,0.0036080454052477675,0.0224437560595142,1.0
t1,1216,-0.00032553355320798954,0.022299276400771544,1.0
t1,1224,-0.0045790341915563785,0.023670385687062815,1.0
t1,1233,-0.00913364290762437,0.021867183305206355,1.0
t1,1240,-0.004402873979565828,0.01878808461050621,1.0
t1,1241,-0.001770628904456771,0.020789390391143588,1.0
t1,1269,0.016882966416904843,0.028260223744635198,1.0
t1,1272,-0.001401212403634178,0.02208825847530098,1.0
t1,1277,-0.006442555085041989,0.022208731313284064,1.0
t1,1282,0.0024317867194797926,0.023533875104278717,1.0
t1,1283,-0.0029688709349112653,0.021951722858608438,1.0
t1,1296,-0.00294442757472576,0.026299421440466726,1.0
t1,1298,0.0038902370251050022,0.025716630153372912,1.0
t1,1318,-0.007234018949501326,0.0211024502837127,1.0
t1,1319,-0.010654284475217725,0.021102866288217555,1.0
t1,1321,-0.001775305174828574,0.02236268646319971,1.0
t1,1336,-0.003138716623637639,0.022354381106114676,1.0
t1,1339,-0.002880024475984506,0.020964989655301434,1.0
t1,1345,0.00442447867375598,0.022690988216773695,1.0
t1,1352,-0.008211871099453257,0.025627461909859012,1.0
t1,1360,-0.009230897289190089,0.02540120854079759,1.0
t1,1365,-0.004844191938212022,0.021260607526290047,1.0
t1,1373,0.0027777896489397727,0.018317070256201096,1.0
t1,1390,0.0007839204002999868,0.020300781165541546,1.0
t1,1391,-0.004928337966890415,0.021024849926700704,1.0
t1,1396,0.0030118724490876625,0.01990119833019543,1.0
t1,1407,-0.0031259402650142803,0.02278162364220843,1.0
t1,1433,-0.00488038435845124,0.02826971191239728,1.0
t1,1451,0.011363309751948839,0.020799201425778187,1.0
t1,1452,-0.0012208205904967518,0.023759543377429124,1.0
t1,1454,0.005471565239828622,0.018392152823628636,1.0
t1,1455,0.011935455039213509,0.018949100031962356,1.0
t1,1462,0.004306757154652935,0.020480733386032617,1.0
t1,1465,-0.0008208119430496441,0.018445545634094278,1.0
t1,1485,-0.0063272005049342505,0.023305234345715797,1.0
t1,1500,0.009216471870961121,0.021124332666263512,1.0
t1,1504,0.003004710189929945,0.023614293283191038,1.0
t1,1518,-8.28770826489743e-5,0.022263240726751808,1.0
t1,1547,0.008812807098884084,0.03126104329698872,1.0
t1,1552,0.0010313557187985592,0.021827970529357508,1.0
t1,1564,-0.003822554973650437,0.02443615338991514,1.0
t1,1574,-0.012348007449827687,0.023560328772944384,1.0
t1,1595,-0.014023768217809868,0.03032229862329218,1.0
t1,1606,0.004893672791201649,0.02292958381732546,1.0
t1,1608,-0.005404656458762916,0.021446966533806726,1.0
t1,1616,0.002142996779756235,0.02082911095957052,1.0
t1,1618,-0.002963148945911949,0.02481909075017908,1.0
t1,1643,0.00596070622912004,0.028297823347002038,1.0
t1,1700,-0.01019378511377762,0.02352256912800957,1.0
t1,1729,0.003893952827153499,0.02584447846123708,1.0
t1,1732,-0.0013214511870494761,0.022258351345750244,1.0
t1,1739,-0.003309478514667625,0.023105535350032024,1.0
t1,1765,0.006825221384586196,0.021247641528847713,1.0
t1,1792,0.007923378221026645,0.025141710387160836,1.0
t1,1828,-0.015061079451785093,0.025982859494844322,1.0
t1,1838,0.00918201830158181,0.022529020917386,1.0
t1,1847,-0.025959367596379904,0.02692191732383261,1.0
t1,1873,0.0037922262473573166,0.019408569563171836,1.0
t1,1878,0.009181511967487625,0.021759537621462998,1.0
t1,1885,-0.002808082517687269,0.025478547736814686,1.0
t1,1889,0.003943914275308887,0.02419179275909496,1.0
t1,1891,0.004638678345581364,0.02034929016129577,1.0
t1,1894,0.0007706505633165771,0.02180806721763465,1.0
t1,1910,-0.0008152410618139443,0.01865843567651017,1.0
t1,1925,-0.007457260724477456,0.020549090676694574,1.0
t1,1940,-0.0010586733153901435,0.01934981438338109,1.0
t1,1941,-0.01079074265800004,0.024240120300998865,1.0
t1,1943,0.0006432574273607711,0.021411498190300197,1.0
t1,1948,-0.00337059057451427,0.020322821031371813,1.0
t1,1956,0.010678773500012678,0.019156298035069175,1.0
